medcod;mefcod;mednom;medpres;medcnc;medtip;medpet;medff;medest;medestvta;medfactper;medtranac;medtraloc;medcomp;medps;medcs;medhi;medact;medindvcto;prdpreadq;prdpredist;prdpreope;prdindact;prdstkmin;prdstkmax;prdptorep;prdsit;prdadi;prdfechult;medregsan;preadq_do;predis_do;preope_do;prdtipomed;mednomabr;mednarcot;mnarcot;tiponc;fecultprec;codigo_sig;fechavrs;prdstkprom
00227;;ACIDO VALPROICO;120 mL;250 mg/5 mL;M;_;JARABE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;;;;X;;P;;;;580500050004;;
00231;;ACITRETINA;;25 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;16/04/2019;583300120001;;0
00234;;ADENOSINA;2 mL;6 mg/2 mL;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;16/04/2019;583000020001;;0
00259;;ALBENDAZOL;20 mL;100 mg/5 mL;M;P;SUSPENSION;_;;;;;;_;_;_;1;S;1.180238;1.298262;1.400000;;;;;1;N;16/08/2019;;0;1;1;X;;;;;18/12/2017;580600040004;;
00269;;ALBENDAZOL;;200 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0.24;0.270000;0.300000;;;;;1;N;1/09/2022;;;;;X;;;;;1/09/2022;580600040001;;
00274;;ALBUMINA HUMANA;50 mL;20 g/100 mL;M;_;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;;;;X;;;;;;582900040002;;
00350;;ALCOHOL POLIVINILICO (SOLUCION OFTALMICA);15 mL;14 mg/mL;M;_;SOLUCION;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;16/04/2019;584400650003;;0
00356;;ACIDO ALENDRONICO (COMO ALENDRONATO SODICO);;70 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0.126;0.141750;0.150000;;;;;1;N;1/07/2022;;0;0;0;X;;;;;1/07/2022;586800010004;;
00389;;ALOPURINOL;;100 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;16/04/2019;580200480001;;0
00390;;ALOPURINOL;;300 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;16/04/2019;580200480002;;0
00393;;ALPRAZOLAM;;500 µg (0.5 mg);M;P;TABLETA;_;;;;;;_;_;_;1;S;0.03;0.033750;0.040000;;;;;1;N;4/07/2022;;0;0;0;X;;P;;;4/07/2022;584900030003;;
00396;;ALPROSTADIL;1 mL;500 µg/mL;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;;;;X;;;;;;583000520002;;
00408;;ALTEPLASA (ACTIVADOR DE PLASMINOGENO TISULAR);;50 mg;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;;;;X;;;;;;582800340001;;
00476;;SIMETICONA;;80 mg;M;_;TABLETA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;16/04/2019;583800220012;;0
00496;;ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO;120 mL;300 - 400 mg/5 mL;M;_;SUSPENSION;_;;;;;;_;_;_;1;S;;;;;;;;1;N;16/08/2019;;;;;X;;;;;;583800700005;;
00497;;ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO;150 mL;300 - 400 mg/5 mL;M;_;SUSPENSION;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;2;2;2;X;;;;;16/04/2019;583800700004;;
00620;;AMFOTERICINA B;10 mL;50 mg;M;_;INYECTABLE;E;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;33;37;41;X;;;;;16/04/2019;581800050003;;
00624;;AMIKACINA (COMO SULFATO);4 mL;1 g;M;_;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;16/04/2019;580900030004;;0
00625;;AMIKACINA (COMO SULFATO);2 mL;50 mg/mL;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0.405832;0.450000;0.500000;;;;;1;N;16/08/2019;;1;1;1;X;;;;;;580900030002;;
00627;;AMIKACINA (COMO SULFATO);2 mL;250 mg/mL;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0.91076;1.024537;1.100000;;;;;1;N;1/05/2020;;0;0;0;X;;;;;18/12/2017;580900030001;;
00638;;AMINOACIDOS;250 mL;10 %;M;_;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;;;;X;;;;;;587500010007;;
00639;;AMINOACIDOS;500 mL;10 %;M;_;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;;;;X;;;;;;587500010005;;
00662;;AMINOFILINA;10 mL;25 mg/mL;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;3.45;3.881250;4.310000;;;;;1;N;1/09/2022;;1;1;1;X;;;;;1/09/2022;585000520001;;
00663;;AMIODARONA CLORHIDRATO;3 mL;50 mg/mL;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;4.8;5.400000;6.000000;;0;0;0;1;N;26/03/2020;;0;0;0;X;;;;;16/04/2019;583000450001;;0
00664;;AMIODARONA CLORHIDRATO;;200 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;1.29;1.451250;1.610000;;0;0;0;1;N;1/06/2020;;0;0;0;X;;;;;16/04/2019;583000450002;;0
00670;;AMITRIPTILINA CLORHIDRATO;;25 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0.18;0.202500;0.220000;;;;;1;N;1/08/2022;;0;0;0;X;;P;;;1/08/2022;584900310001;;
00671;;AMLODIPINO (COMO BESILATO);;10 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0.0348;0.039150;0.040000;;;;;1;N;1/05/2022;;;;;X;;;;;1/05/2022;583100020001;;
00673;;AMLODIPINO (COMO BESILATO);;5 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0.05;0.056250;0.060000;;;;;1;N;1/06/2020;;0;0;0;X;;;;;;583100020002;;
00701;;AMOXICILINA + BROMHEXINA;60 mL;500 mg + 4 mg/5 mL;M;_;SUSPENSION;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;16/04/2019;585300290014;;0
01657;;CEFOTAXIMA (COMO SAL SODICA);;500 mg;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;25/04/2019;580800220001;;0
01682;;CEFTAZIDIMA;;1 g;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;3;4;4;X;;;;;25/04/2019;580800230001;;
01684;;CEFTRIAXONA SODICA;;1 g;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0.68;0.765000;0.850000;;;;;1;N;1/09/2019;;1;2;2;X;;;;;;580800240002;;
01686;;CEFTRIAXONA (COMO SAL SODICA);;250 mg;M;_;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;25/04/2019;580800240004;;0
01695;;CEFUROXIMA;100 mL;250 mg/5 mL;M;P;SUSPENSION;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;25/04/2019;580800150013;;0
01705;;CEFUROXIMA (COMO AXETIL);50 mL;250 mg/5 mL;M;P;SUSPENSION;_;;;;;;_;_;_;1;S;20;22.500000;25.000000;;;;;1;N;1/09/2022;;0;0;0;X;;;;;1/09/2022;580800150004;;
01706;;CEFUROXIMA;60 mL;250 mg/5 mL;M;P;SUSPENSION;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;;;;X;;;;;;580800150007;;
01711;;CEFUROXIMA (COMO AXETIL);;500 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0.99;1.113750;1.230000;;;;;1;N;1/09/2022;;;;;X;;;;;1/09/2022;580800150001;;
01759;;HIERRO POLIMALTOSA;100 mL;50 mg/5 mL;M;_;JARABE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;;;;X;;;;;;582800080003;;
01776;;CICLOFOSFAMIDA;;1 g;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;25/04/2019;582600590004;;0
01778;;CICLOFOSFAMIDA;;200 mg;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;;;;X;;;;;;582600590002;;
01780;;CICLOFOSFAMIDA;;50 mg;M;P;TABLETA;E;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;;582600590003;;0
01788;;CICLOSERINA;;250 mg;M;P;TABLETA;E;;;;;;_;_;_;1;S;1.169997;1.169997;1.169997;;;;;1;N;16/08/2019;;0.6;0.6;0.6;X;;;;;10/05/2018;581700090008;;
01793;;CICLOSPORINA;50 mL;100 mg/mL;M;P;SOLUCION;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;25/04/2019;582600900005;;0
01798;;CICLOSPORINA;;50 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;;;;X;;;;;;582600900001;;
01800;;CILASTATINA + IMIPENEM (COMO SAL SODICA);;500 mg + 500 mg;M;P;INYECTABLE;E;;;;;;_;_;_;1;S;15.99;17.988750;19.980000;;0;0;0;1;N;1/12/2022;;0;0;0;X;;;;;1/12/2022;587200030001;;0
01826;;CIPROFLOXACINO + DEXAMETASONA (SUSPENSION OFTALMICA);5 mL;3 mg + 1 mg/mL;M;_;SUSPENSION;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;0;0;0;X;;;;;25/04/2019;585500480001;;
01837;;CIPROFLOXACINO (COMO LACTATO);100 mL;200 mg;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0.7511;0.844988;0.930000;;;;;1;N;1/07/2022;;;;;X;;;;;1/07/2022;581400130009;;
01841;;CIPROFLOXACINO (COMO CLORHIDRATO)(SOLUCION OFTALMICA);5 mL;3 mg/mL (0.3 %);M;P;SOLUCION;S;1;;;;;_;_;_;1;S;2.668728;3.202474;3.300000;;;;;1;N;16/08/2019;;0;0;0;X;;;;;18/12/2017;584400670004;;
01845;;CIPROFLOXACINO;;250 mg;M;_;TABLETA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0.158025;0.177778;0.2;S;;;;;25/04/2019;581400130005;;0
01846;;CIPROFLOXACINO (COMO CLORHIDRATO);;500 mg;M;P;TABLETA;S;1;;;;;_;_;_;1;S;0.16;0.180000;0.200000;;;;;1;N;1/09/2022;;;;;X;;;;;1/09/2022;581400130004;;
01853;;CIPROTERONA ACETATO;;50 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;25/04/2019;583900520001;;0
01864;;CISPLATINO;20 mL;500 ug/mL;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;25/04/2019;582600600003;;0
01866;;CISPLATINO;10 mL;1 mg/mL;M;P;INYECTABLE;E;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;27/04/2019;582600600005;;0
01869;;CISPLATINO;50 mL;1 mg/mL;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;27/04/2019;582600600004;;0
01873;;CITARABINA (SIN PRESERVANTES);;100 mg;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;27/04/2019;582600610004;;0
01876;;CITARABINA;;500 mg;M;P;INYECTABLE;E;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;27/04/2019;582600610001;;0
01924;;CLARITROMICINA;50 mL;250 mg/5 mL;M;P;SUSPENSION;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;27/04/2019;581000040005;;0
01925;;CLARITROMICINA;60 mL;250 mg/5 mL;M;P;SUSPENSION;_;;;;;;_;_;_;1;S;7.84;8.820000;9.800000;;;;;1;N;1/09/2019;;0;0;0;X;;;;;;581000040009;;
01930;;CLARITROMICINA;;500 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0.6351;0.714487;0.750000;;;;;1;N;1/07/2020;;0;0;0;X;;;;;18/12/2017;581000040001;;
01958;;CLINDAMICINA (COMO FOSFATO);4 mL;600 mg;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;1.048;1.250000;1.300000;;;;;1;N;16/08/2019;;1;1;1;X;;;;;;581000070003;;
01964;;CLINDAMICINA (COMO CLORHIDRATO);;300 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0.48;0.540000;0.600000;;;;;1;N;1/12/2022;;0;0;0;X;;;;;1/12/2022;581000070002;;
01966;;CLOBAZAM;;10 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;;;;X;;P;;;;584900010001;;
01972;;CLOBETASOL PROPIONATO;20 g;50 mg/100 g;M;P;CREMA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;27/04/2019;583300230004;;0
01973;;CLOBETASOL PROPIONATO;25 g;50 mg/100 g (0.05 %);M;P;CREMA;_;;;;;;_;_;_;1;S;0.96;1.080000;1.200000;;;;;1;N;1/09/2019;;0;0;0;X;;;;;18/12/2017;583300230002;;
01997;;CLOMIPRAMINA CLORHIDRATO;;25 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;2.21;2.486250;2.760000;;;;;1;N;1/09/2022;;1;1;1;X;;P;;;1/09/2022;584900290002;;
02003;;CLONAZEPAM;;500 µg (0.5 mg);M;P;TABLETA;S;1;;;;;_;_;_;1;S;0.02547;0.028654;0.030000;;;;;1;N;1/07/2022;;0;0;0;X;;P;;;1/07/2022;580500090002;;
02004;;CLONAZEPAM;;2 mg;M;P;TABLETA;S;1;;;;;_;_;_;1;S;0.016115;0.018129;0.020000;;;;;1;N;1/06/2020;;0;0;0;X;;P;;;;580500090003;;
02031;;CLORANFENICOL (COMO SUCCINATO SODICO);;1 g;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;2.108;2.310000;2.500000;;;;;1;N;16/08/2019;;2;2;2;X;;;;;;581200010004;;
02044;;CLORANFENICOL PALMITATO;60 mL;125 mg/5 mL;M;_;SUSPENSION;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;27/04/2019;581200010005;;0
02052;;CLORANFENICOL (COMO PALMITATO);60 mL;250 mg/5 mL;M;P;SUSPENSION;_;;;;;;_;_;_;1;S;7.428;8.356500;9.280000;;;;;1;N;1/11/2022;;1;1;1;X;;;;;1/11/2022;581200010001;;
02054;;CLORANFENICOL;;250 mg;M;P;TABLETA;S;1;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;0;0;0;X;;;;;27/04/2019;581200010003;;
02055;;CLORANFENICOL;;500 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0.33;0.396000;0.400000;;;;;1;N;16/08/2019;;0;0;0;X;;;;;18/12/2017;581200010002;;
02128;;CLORFENAMINA MALEATO;1 mL;10 mg/mL;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0.1043;0.117337;0.130000;;;;;1;N;1/07/2020;;0;0;0;X;;;;;18/12/2017;580300180005;;
02132;;CLORFENAMINA MALEATO;120 mL;2 mg/5 mL;M;P;JARABE;_;;;;;;_;_;_;1;S;0.9959;1.120387;1.200000;;;;;1;N;1/05/2020;;0;0;0;X;;;;;18/12/2017;580300180006;;
02144;;CLORFENAMINA MALEATO;60 mL;2 mg/5 mL;M;P;JARABE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0.711111;0.8;0.9;S;;;;;27/04/2019;580300180001;;0
02149;;CLORFENAMINA MALEATO;;4 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0.03;0.033750;0.040000;;;;;1;N;4/07/2022;;0;0;0;X;;;;;4/07/2022;580300180004;;
02170;;CLORHEXIDINA;4 L;1.5 g/100 mL;M;_;SOLUCION;_;;;;;;_;_;_;1;;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;;583600220031;;0
02186;;CLORHEXIDINA;100 mL;4 g/100 mL;M;P;SOLUCION;S;1;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;10/05/2018;583600220012;;0
02187;;CLORHEXIDINA GLUCONATO;1 L;4 g/100 mL (4 %);M;P;SOLUCION;_;;;;;;_;_;_;1;S;24;27.000000;30.000000;;;;;1;N;1/09/2019;;0;0;0;X;;;;;;583600220011;;
02202;;CLOROQUINA (Equivalente a 250 mg de CLOROQUINA FOSFATO);;150 mg;M;P;TABLETA;E;;;;;;_;_;_;1;S;0.071681;0.080641;0.090000;;;;;1;N;2/05/2020;;0.071681;0.080641;0.09;X;;;;;;582100070003;;
02203;;MEFLOQUINA CLORHIDRATO;;250 mg;M;P;TABLETA;E;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;27/04/2019;582100080001;;0
02205;;CLORPROMAZINA CLORHIDRATO;2 mL;25 mg;M;_;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;27/04/2019;584800650003;;0
02208;;CLORPROMAZINA CLORHIDRATO;;100 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0.495;0.556875;0.620000;;;;;1;N;1/05/2022;;0;0;0;X;;;;;1/05/2022;584800650001;;
02210;;CLORPROPAMIDA;;250 mg;M;_;TABLETA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;;584000020001;;0
02227;;CLORURO DE BENZALCONIO;1 L;100 mg/100 mL;M;_;SOLUCION;_;;;;;;_;_;_;1;S;;;;;;;;1;N;16/08/2019;;;;;X;;;;;;583600010003;;
02231;;CLORURO DE BENZALCONIO;30 mL;100 mg/100 mL;M;_;SOLUCION;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;27/04/2019;583600010006;;0
02269;;CLORURO DE SUXAMETONIO;10 mL;50 mg/mL;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;27/04/2019;586300220001;;0
02309;;CLOTRIMAZOL;20 mL;1 g/100 mL (1 %);M;P;SOLUCION;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;1;1;1;X;;;;;27/04/2019;583301020009;;
02312;;CLOTRIMAZOL;40 g;1 g/100 g;M;P;CREMA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;27/04/2019;583301020001;;0
02319;;CLOTRIMAZOL;20 g;1 g/100 g (1 %);M;P;CREMA;_;;;;;;_;_;_;1;S;0.804825;0.965790;1.000000;;;;;1;N;16/08/2019;;1;1;1;X;;;;;18/12/2017;583301020002;;
02320;;CLOTRIMAZOL;30 g;1 g/100 g (1 %);M;P;CREMA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;27/04/2019;581800060008;;0
02354;;CLOTRIMAZOL;;500 mg;M;P;OVULO;_;;;;;;_;_;_;1;S;0.45;0.506250;0.560000;;;;;1;N;1/09/2022;;0;0;0;X;;;;;1/09/2022;581800060003;;
02361;;CLOZAPINA;;100 mg;M;P;TABLETA;_;;;;;;_;_;_;1;S;0.65;0.731250;0.810000;;;;;1;N;1/09/2020;;0;0;0;X;;P;;;;584800660002;;
02381;;CODEINA FOSFATO;2 mL;30 mg/mL;M;P;INYECTABLE;_;;;;;;_;_;_;1;S;2.5;2.812500;3.130000;;0;0;0;1;N;30/12/2019;;0;0;0;X;;E;;;16/08/2019;586900070012;;0
02384;;CODEINA;120 mL;6 mg/5 mL;M;_;JARABE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;E;;;;586900070005;;0
02391;;COLCHICINA;;500 µg (0.5 mg);M;P;TABLETA;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;27/04/2019;580200420001;;0
02405;;COMBINACIONES DE ELECTROLITOS;1 L;;M;_;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;0;0;0;1;N;16/08/2019;;0;0;0;X;;;;;;585100040006;;0
02432;;SOLUCIONES PARA NUTRICION PARENTERAL;1 L;;M;_;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;;;;X;;;;;;587500050006;;
02433;;SOLUCIONES PARA NUTRICION PARENTERAL;2 L;;M;_;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;;;;X;;;;;;587500050005;;
02435;;SOLUCIONES PARA NUTRICION PARENTERAL;3 L;;M;_;INYECTABLE;_;;;;;;_;_;_;1;S;0;0.000000;0.000000;;;;;1;N;16/08/2019;;;;;X;;;;;;587500050003;;
